URL,Title,Author,,
https://mc-store.com/products/developing-business-applications-for-the-web-with-html-css-jsp-php-asp-net-and-javascript,"Developing Business Applications for the Web: With HTML, CSS, JSP, PHP, ASP.NET, and JavaScript",Laura Ubelhor and Christian Hur,,
https://mc-store.com/products/developing-web-2-0-applications-with-egl-for-ibm-i,Developing Web 2.0 Applications with EGL for IBM i,Joe Pluta,,
https://mc-store.com/products/developing-web-services-for-web-applications,Developing Web Services for Web Applications,Colette Burrus and Stephanie Parkin,,
https://mc-store.com/products/digital-marketplaces-for-knowledge-intensive-assets,Digital Marketplaces for Knowledge Intensive Assets,Ranjan Sinha and Cheranellore Vasudevan,,
https://mc-store.com/products/driving-the-power-of-aix,Driving the Power of AIX,Ken Milberg,,
https://mc-store.com/products/eclipse-step-by-step,Eclipse: Step by Step,Joe Pluta,,
https://mc-store.com/products/enterprise-web-2-0-with-egl,Enterprise Web 2.0 with EGL,Ben Margolis,,
https://mc-store.com/products/evolve-your-rpg-coding-move-from-opm-to-ile-and-beyond,Evolve Your RPG Coding: Move from OPM to ILE ... and Beyond,Rafael Victoria-Pereira,,
https://mc-store.com/products/extract-transform-and-load-with-sql-server-integration-services,"Extract, Transform, and Load with SQL Server Integration Services",Thomas Snyder and Vedish Shah,,
https://mc-store.com/products/flexible-input-dazzling-output-with-ibm-i,"Flexible Input, Dazzling Output with IBM i",Rafael Victoria-Pereira,,
https://mc-store.com/products/free-format-rpg-iv,Free-Format RPG IV: Third Edition,Jim Martin,,
https://mc-store.com/products/free-format-rpg-iv-second-edition,Free-Format RPG IV: Second Edition,Jim Martin,,
https://mc-store.com/products/from-idea-to-print,From Idea to Print,Roger E. Sanders,,
https://mc-store.com/products/functions-in-free-format-rpg-iv,Functions in Free-Format RPG IV,Jim Martin,,
https://mc-store.com/products/fundamentals-of-technology-project-management,Fundamentals of Technology Project Management,Colleen Garton and Erika McCulloch,,
https://mc-store.com/products/gift-card,Gift Card,MC Press Bookstore,,
https://mc-store.com/products/how-to-become-a-highly-paid-corporate-programmer,How to Become a Highly Paid Corporate Programmer,Paul H. Harkins,,
https://mc-store.com/products/html-for-the-business-developer,HTML for the Business Developer,Kevin Forsythe and Laura Ubelhor,,
https://mc-store.com/products/i5-os-and-microsoft-office-integration-handbook,i5/OS and Microsoft Office Integration Handbook,Chris Peters and Brian Singleton,,
https://mc-store.com/products/ibm-business-analytics-and-cloud-computing,IBM Business Analytics and Cloud Computing,"Anant Jhingran, Stephan Jou, William Lee, Thanh Pham, and Biraj Saha",,
https://mc-store.com/products/ibm-cloud-platform-primer,IBM Cloud Platform Primer,Ashok K. Iyengar,,
https://mc-store.com/products/ibm-db2-for-z-os-the-database-for-gaining-a-competitive-advantage,IBM DB2 for z/OS: The Database for Gaining a Competitive Advantage!,"Shantan Kethireddy, Jane Man, Surekha Parekh, Pallavi Priyadarshini, and Maryela Weihrauch",,
https://mc-store.com/products/ibm-i5-iseries-primer,IBM i5/iSeries Primer,"Ted Holt, Kevin Forsythe, Doug Pence, and Ron Hawkins",,
https://mc-store.com/products/ibm-infosphere-a-platform-for-big-data-governance-and-process-data-governance,IBM InfoSphere: A Platform for Big Data Governance and Process Data Governance,Sunil Soares,,
https://mc-store.com/products/ibm-i-security-administration-and-compliance,IBM i Security Administration and Compliance,Carol Woodbury,,
https://mc-store.com/products/ibm-i-security-administration-and-compliance-second-edition,IBM i Security Administration and Compliance: Second Edition,Carol Woodbury,,
https://mc-store.com/products/ibm-i-security-administration-and-compliance-third-edition,IBM i Security Administration and Compliance: Third Edition,Carol Woodbury,,
https://mc-store.com/products/ibm-mainframe-security,IBM Mainframe Security,Dinesh D. Dattani,,
https://mc-store.com/products/ibm-rational-business-developer-with-egl,IBM Rational Business Developer with EGL,Ben Margolis,,
https://mc-store.com/products/ibm-system-i-apis-at-work,IBM System i APIs at Work,"Bruce Vining, Doug Pence, and Ron Hawkins",,
https://mc-store.com/products/ibm-websphere-portal-primer,IBM WebSphere Portal Primer,"Ashok K. Iyengar, Venkata Gadepalli, and Bruce Olson",,
https://mc-store.com/products/identity-management,Identity Management,"Graham Williamson, David Yip, Ilan Sharoni, and Kent Spaulding",,
https://mc-store.com/products/identity-management-a-business-perspective,Identity Management: A Business Perspective,Graham Williamson,,
https://mc-store.com/products/iseries-and-as-400-work-management,iSeries and AS/400 Work Management,Chuck Stupca,,
https://mc-store.com/products/it-virtualization-best-practices,IT Virtualization Best Practices,"Mickey Iqbal, Dr. Mithkal Smadi, Chris Molloy, and Jim Rymarczyk",,
